region,source_name,source_name_local,type,subtype,url_news,url_home,language,rss_or_api,update_frequency,robotics_relevance,priority_tier,collection_route,watch_keywords,verification_role,notes
China,Astribot,星尘智能,Company,Company newsroom,https://www.astribot.com/news,https://www.astribot.com/,zh+en,None — scrape,Event-driven,AI robot assistant news,P1,page scrape,机器人;发布,product announcements,
China,LimX,逐际动力,Company,Company newsroom,https://www.limx.com/news,https://www.limx.com/,zh+en,None — scrape,Event-driven,Legged robot and embodied AI news,P1,page scrape,机器人;发布,product announcements,
China,Deep Robotics,云深处科技,Company,Company newsroom,https://www.deeprobotics.cn/en,https://www.deeprobotics.cn/,zh+en,None — scrape,Event-driven,Quadruped robot news,P1,page scrape,机器人;发布,product announcements,
China,CAS Institute of Automation,中科院自动化所,Research,Lab news,http://english.ia.cas.cn/,http://english.ia.cas.cn/,zh+en,None — scrape,Event-driven,Fundamental AI and robotics research breakthroughs,P1,page scrape,机器人;人工智能,research papers,
China,Tsinghua University,清华大学自动化系,University,Lab news,https://www.au.tsinghua.edu.cn/en/News.htm,https://www.au.tsinghua.edu.cn/en/,zh+en,None — scrape,Event-driven,Robotics research and academic achievements,P1,page scrape,机器人;人工智能,research papers,
China,BAAI,北京智源人工智能研究院,Research,Lab news,https://www.baai.ac.cn/news,https://www.baai.ac.cn/,zh+en,None — scrape,Event-driven,AI and embodied AI research updates,P1,page scrape,具身智能;人工智能,research papers,
China,WRC,世界机器人大会,Exhibition,Exhibition news,https://www.worldrobotconference.com/en/,https://www.worldrobotconference.com/en/,zh+en,None — scrape,Event-driven,Major robotics exhibition announcements and product debuts,P1,page scrape,机器人;展览,product announcements,
China,WAIC,世界人工智能大会,Exhibition,Exhibition news,https://www.worldaic.com.cn/,https://www.worldaic.com.cn/,zh+en,None — scrape,Event-driven,AI and robotics exhibition announcements,P1,page scrape,人工智能;机器人,product announcements,
China,CIIF,中国国际工业博览会,Exhibition,Exhibition news,https://www.ciif-expo.com/news,https://www.ciif-expo.com/,zh+en,None — scrape,Event-driven,Industrial robotics exhibition announcements,P1,page scrape,工业机器人;展览,product announcements,
China,CRIA,中国机器人产业联盟,Association,Association news,http://www.cria.org.cn/,http://www.cria.org.cn/,zh,None — scrape,Event-driven,Robotics industry statistics and alliance news,P1,page scrape,机器人;产业,industry statistics,
China,CAA,中国自动化学会,Association,Association news,http://www.caa.org.cn/index.php?me_id=2,http://www.caa.org.cn/,zh,None — scrape,Event-driven,Automation and robotics academic news,P1,page scrape,自动化;机器人,industry statistics,HTTP-only site; intermittent from overseas; use CN proxy or cached scrape.
China,CMRA,中国移动机器人产业联盟,Association,Association news,https://cnmra.com/,https://cnmra.com/,zh+en,None — scrape,Event-driven,Mobile robot industry news and reports,P1,page scrape,移动机器人;AGV,industry statistics,
China,Zhejiang University,浙江大学控制科学与工程学院,University,Lab news,http://www.cse.zju.edu.cn/english/news/list.htm,http://www.cse.zju.edu.cn/english/,zh+en,None — scrape,Event-driven,Robotics and control science research,P2,page scrape,机器人;控制,research papers,
China,SJTU,上海交通大学机械与动力工程学院,University,Lab news,https://me.sjtu.edu.cn/news.html,https://me.sjtu.edu.cn/,zh+en,None — scrape,Event-driven,Mechanical engineering and robotics research,P2,page scrape,机器人;机械,research papers,
China,HIT,哈尔滨工业大学机器人技术与系统国家重点实验室,University,Lab news,http://robot.hit.edu.cn/news,http://robot.hit.edu.cn/,zh,None — scrape,Event-driven,Robotics technology and systems research,P2,page scrape,机器人;系统,research papers,
China,Peking University,北京大学智能学院,University,Lab news,https://www.ai.pku.edu.cn/,https://www.ai.pku.edu.cn/,zh+en,None — scrape,Event-driven,AI and robotics research,P2,page scrape,人工智能;机器人,research papers,PKU Institute for AI news list (Chinese). PKU Institute for AI homepage lists dated news items (Chinese); no stable subpage.
China,Beijing Humanoid Robot Innovation Center,北京人形机器人创新中心,Research,Lab news,https://www.x-humanoid.com/news.html,https://www.x-humanoid.com/,zh,None — scrape,Event-driven,Humanoid robot innovation and development,P1,page scrape,人形机器人;创新,product announcements,
China,National Local Joint Humanoid Robot Innovation Center,国家地方共建人形机器人创新中心,Research,Lab news,https://mp.weixin.qq.com/ (search 国地共建人形机器人创新中心),https://www.nlhc.com.cn/,zh,None — scrape,Event-driven,National humanoid robot innovation projects,P1,page scrape,人形机器人;创新,product announcements,Primary channel is official WeChat account 国地共建人形机器人创新中心 (OpenLoong); website unstable overseas. Also openloong.org.cn for open-source releases.
China,36Kr,36氪,Wire(verification-only),Tech news aggregator,https://36kr.com/,https://36kr.com/,zh,None — scrape,Daily,General tech and robotics news aggregation,P2,page scrape,机器人;融资,media reports,
China,Jiqizhixin,机器之心,Wire(verification-only),AI news aggregator,https://www.jiqizhixin.com/,https://www.jiqizhixin.com/,zh,None — scrape,Daily,AI and robotics news aggregation,P2,page scrape,机器人;人工智能,media reports,
China,QbitAI,量子位,Wire(verification-only),AI news aggregator,https://www.qbitai.com/,https://www.qbitai.com/,zh,None — scrape,Daily,AI and tech news aggregation,P2,page scrape,机器人;人工智能,media reports,
Japan,METI,経済産業省,Government,Ministry press releases,https://www.meti.go.jp/english/press/index.html,https://www.meti.go.jp/english/,en,None — scrape,Daily,National robotics policy,funding,and industrial strategy announcements.,P0,page scrape,robotics; AI; automation; manufacturing
Japan,NEDO,新エネルギー・産業技術総合開発機構,Government,Agency press releases,https://www.nedo.go.jp/english/news/activities_index.html,https://www.nedo.go.jp/english/,en,None — scrape,Weekly,Major robotics R&D project funding and results announcements.,P0,page scrape,robotics; AI; automation; Moonshot,funding filings,English translations available.
Japan,MIC,総務省,Government,Ministry press releases,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/pressrelease/index.html,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/,en,None — scrape,Weekly,Telecommunications and AI/robotics infrastructure policy.,P1,page scrape,AI; robotics; telecommunications,official policy text,English translations available.
Japan,Cabinet Office Moonshot,内閣府 ムーンショット型研究開発制度,Government,Program news,https://www8.cao.go.jp/cstp/english/moonshot/top.html,https://www8.cao.go.jp/cstp/english/moonshot/top.html,en,None — scrape,Monthly,Updates on the Moonshot R&D program including robotics goals.,P1,page scrape,robotics; AI; Moonshot,funding filings,English translations available.
Japan,e-Stat METI Machinery Statistics,e-Stat 機械統計,Statistics,Government statistics,https://www.e-stat.go.jp/en,https://www.e-stat.go.jp/en,en,None — scrape,Monthly,Official statistics on industrial robot production and orders.,P1,page scrape,robotics; machinery; production,official statistics,English interface available.
Japan,TDnet,適時開示情報伝達システム,Disclosure,Stock exchange disclosure,https://www.jpx.co.jp/english/equities/listing/disclosure/index.html,https://www.jpx.co.jp/english/,en,API: TDnet API,Daily,Timely disclosure of financial results and corporate actions by listed robotics companies.,P0,API,robotics; automation; financial results,financial filings,API available for programmatic access.
Japan,EDINET,金融商品取引法に基づく有価証券報告書等の開示書類に関する電子開示システム,Disclosure,Financial regulator disclosure,https://disclosure2.edinet-fsa.go.jp/week0020.aspx,https://disclosure2.edinet-fsa.go.jp/,en,API: EDINET API,Daily,Statutory financial filings (securities reports) of listed robotics companies.,P0,API,robotics; automation; financial results,financial filings,API available for programmatic access.
Japan,J-PlatPat,特許情報プラットフォーム,Patent,Patent database,https://www.j-platpat.inpit.go.jp/?uri=/s0000/en,https://www.j-platpat.inpit.go.jp/?uri=/s0000/en,en,None — scrape,Weekly,Patent applications and grants for robotics technologies.,P1,page scrape,robotics; AI; automation,patent filings,English interface available.
Japan,JARA,日本ロボット工業会,Association,Industry association news,https://www.jara.jp/e/,https://www.jara.jp/e/,en,None — scrape,Monthly,Industry statistics and association news for the Japanese robotics sector.,P1,page scrape,robotics; statistics; industry,industry statistics,English interface available.
Japan,JEMA,日本電機工業会,Association,Industry association news,https://www.jema-net.or.jp/English/about/2025.html,https://www.jema-net.or.jp/English/index.html,en,None — scrape,Monthly,News and statistics related to electrical manufacturing including industrial apparatus.,P2,page scrape,robotics; automation; electrical,industry statistics,English interface available.
Japan,RRI,ロボット革命・産業IoTイニシアティブ協議会,Association,Initiative news,https://www.jmfrri.gr.jp/news/english/,https://www.jmfrri.gr.jp/english/outline/overview,en,None — scrape,Monthly,Updates on the Robot Revolution and Industrial IoT Initiative.,P1,page scrape,robotics; IoT; automation,industry initiatives,English interface available.
Japan,iREX,国際ロボット展,Exhibition,Exhibition news,https://global.yamaha-motor.com/showroom/event/2025-irex/,https://global.yamaha-motor.com/showroom/event/2025-irex/,en,None — scrape,Event-driven,News and announcements related to the International Robot Exhibition.,P2,page scrape,robotics; exhibition; iREX,event announcements,English interface available.
Japan,AIST,産業技術総合研究所,Research,Institute news,https://www.aist.go.jp/aist_e/list/highlights/2018/vol6/,https://www.aist.go.jp/aist_e/,en,None — scrape,Monthly,Research highlights and press releases on robotics R&D.,P1,page scrape,robotics; AI; humanoid,research results,English interface available.
Japan,RIKEN,理化学研究所,Research,Institute news,https://www.riken.jp/en/research/labs/aip/phys/robo-sys/index.html,https://www.riken.jp/en/,en,None — scrape,Monthly,Research highlights and press releases on robotics and AI R&D.,P1,page scrape,robotics; AI; automation,research results,English interface available.
Japan,ATR,国際電気通信基礎技術研究所,Research,Institute news,https://dil.atr.jp/ISL/en/institute,https://dil.atr.jp/ISL/en/,en,None — scrape,Monthly,Research highlights and press releases on intelligent robotics and communication.,P1,page scrape,robotics; AI; communication,research results,English interface available.
Japan,JSK Lab,東京大学 情報システム工学研究室,University,Lab news,http://www.jsk.t.u-tokyo.ac.jp/,http://www.jsk.t.u-tokyo.ac.jp/,en,None — scrape,Monthly,Research updates and publications from the JSK Lab at the University of Tokyo.,P1,page scrape,robotics; humanoid; AI,research results,English interface available.
Japan,FANUC,ファナック,Company,IR announcements,https://www.fanuc.co.jp/en/profile/pr/newsrelease/,https://www.fanuc.co.jp/en/,en,None — scrape,Weekly,Corporate news,product launches,and financial results.,P0,page scrape,robotics; CNC; automation
Japan,Yaskawa,安川電機,Company,IR announcements,https://www.yaskawa-global.com/newsrelease,https://www.yaskawa-global.com/,en,None — scrape,Weekly,Corporate news,product launches,and financial results.,P0,page scrape,robotics; automation; drives
Japan,Kawasaki Robotics,川崎重工業 ロボットビジネスセンター,Company,IR announcements,https://kawasakirobotics.com/news/,https://kawasakirobotics.com/,en,None — scrape,Weekly,Corporate news,product launches,and financial results.,P0,page scrape,robotics; automation; cobots
Japan,Mitsubishi Electric,三菱電機,Company,IR announcements,https://www.meaa-mea.com/category/press-releases/,https://www.mitsubishielectric.com/en/,en,None — scrape,Weekly,Corporate news,product launches,and financial results.,P0,page scrape,robotics; automation; AI
Japan,Denso Wave,デンソーウェーブ,Company,IR announcements,https://www.denso-wave.com/en/robot/info/,https://www.denso-wave.com/en/,en,None — scrape,Monthly,Corporate news,product launches,and financial results.,P1,page scrape,robotics; automation; cobots
Japan,Epson Robots,エプソン販売,Company,IR announcements,https://news.epson.com/news,https://epson.com/usa,en,None — scrape,Monthly,Corporate news,product launches,and financial results.,P1,page scrape,robotics; automation; SCARA
Japan,Omron,オムロン,Company,IR announcements,https://robotics.omron.com/news/,https://robotics.omron.com/,en,None — scrape,Weekly,Corporate news,product launches,and financial results.,P0,page scrape,robotics; automation; AMR
Japan,Nachi-Fujikoshi,不二越,Company,IR announcements,https://www.nachi-fujikoshi.co.jp/eng.html,https://www.nachi-fujikoshi.co.jp/eng.html,en,None — scrape,Monthly,Corporate news,product launches,and financial results.,P1,page scrape,robotics; automation; hydraulics
Japan,Toyota Research Institute,トヨタ・リサーチ・インスティテュート,Company,IR announcements,https://www.tri.global/news,https://www.tri.global/,en,None — scrape,Monthly,Research updates and press releases on robotics and AI.,P1,page scrape,robotics; AI; automation,corporate announcements,English interface available.
Japan,Honda,本田技研工業,Company,IR announcements,https://global.honda/en/robotics/,https://global.honda/en/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on robotics.,P1,page scrape,robotics; ASIMO; AI
Japan,Sony AI,ソニーAI,Company,IR announcements,https://ai.sony/news,https://ai.sony/,en,None — scrape,Monthly,Research updates and press releases on AI and robotics.,P1,page scrape,robotics; AI; automation,corporate announcements,English interface available.
Japan,SoftBank Robotics,ソフトバンクロボティクス,Company,IR announcements,https://www.softbankrobotics.com/news/,https://www.softbankrobotics.com/,en,None — scrape,Monthly,Corporate news,product launches,and financial results.,P1,page scrape,robotics; automation; AI
Japan,Preferred Networks,プリファードネットワークス,Company,IR announcements,https://www.preferred.jp/en/news,https://www.preferred.jp/en/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on AI and robotics.,P1,page scrape,robotics; AI; automation
Japan,Telexistence,テレイグジスタンス,Company,IR announcements,https://tx-inc.com/en/press/,https://tx-inc.com/en/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on robotics.,P1,page scrape,robotics; AI; automation
Japan,Mujin,ムジン,Company,IR announcements,https://mujin-corp.com/resources/news,https://mujin-corp.com/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on robotics.,P1,page scrape,robotics; AI; automation
Japan,GITAI,GITAI,Company,IR announcements,https://gitai.tech/news/,https://gitai.tech/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on space robotics.,P1,page scrape,robotics; space; automation
Japan,Rapyuta Robotics,ラピュタロボティクス,Company,IR announcements,https://www.rapyuta-robotics.com/category/press-release/,https://www.rapyuta-robotics.com/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on cloud robotics.,P1,page scrape,robotics; cloud; automation
Japan,Cyberdyne,サイバーダイン,Company,IR announcements,https://www.cyberdyne.jp/en/news,https://www.cyberdyne.jp/en/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on rehabilitation robotics.,P1,page scrape,robotics; rehabilitation; automation
Japan,Kawada Robotics,カワダロボティクス,Company,IR announcements,https://www.kawada.jp/global/news/,https://www.kawada.jp/global/,en,None — scrape,Monthly,Corporate news,product launches,and research updates on humanoid robots.,P1,page scrape,robotics; humanoid; automation
Japan,Nabtesco,ナブテスコ,Company,IR announcements,https://precision.nabtesco.com/en/event/,https://precision.nabtesco.com/en/,en,None — scrape,Monthly,Corporate news,product launches,and financial results.,P1,page scrape,robotics; automation; precision
Japan,Nikkei,日本経済新聞,Wire(verification-only),General media,https://asia.nikkei.com/,https://asia.nikkei.com/,en,None — scrape,Daily,General news media for verification purposes.,P2,page scrape,robotics; automation; business,verification,Secondary source.
Japan,Japan Times,ジャパンタイムズ,Wire(verification-only),General media,https://www.japantimes.co.jp/,https://www.japantimes.co.jp/,en,None — scrape,Daily,General news media for verification purposes.,P2,page scrape,robotics; automation; business,verification,Secondary source.
Japan,Kyodo News,共同通信,Wire(verification-only),General media,https://english.kyodonews.net/,https://english.kyodonews.net/,en,None — scrape,Daily,General news media for verification purposes.,P2,page scrape,robotics; automation; business,verification,Secondary source.
South Korea,"Ministry of Trade, Industry and Energy (MOTIE)",산업통상자원부,Government,Ministry press releases,https://www.motir.go.kr/kor/article/ATCL3f49a5a8c,https://www.motir.go.kr/,ko,None - scrape,Daily,"Official government policy, funding, and strategy announcements for the robotics and manufacturing sectors.",P0,page scrape,"로봇, 인공지능, 스마트제조, 자동화","official policy text, government funding","Korean language only, requires translation"
South Korea,Ministry of Science and ICT (MSIT),과학기술정보통신부,Government,Ministry press releases,https://www.msit.go.kr/bbs/list.do?sCode=user&mId=307&mPid=208,https://www.msit.go.kr/,ko,None - scrape,Daily,"Official announcements on AI, ICT, and science R&D budgets and policies.",P0,page scrape,"인공지능, 로봇, R&D, 과학기술","official policy text, R&D funding","Korean language only, requires translation"
South Korea,Korea Institute for Robot Industry Advancement (KIRIA),한국로봇산업진흥원,Government,Agency press releases,https://www.kiria.org/portal/info/portalInfoNewsClipSideList.do,https://www.kiria.org/,ko,None - scrape,Weekly,"Announcements on robot industry promotion, certification, and commercialization support.",P1,page scrape,"로봇, 인증, 지원사업, 상용화","certification status, government support programs",Korean language only
South Korea,Korea Institute for Advancement of Technology (KIAT),한국산업기술진흥원,Government,Agency press releases,https://www.kiat.or.kr/front/board/boardContentsListPage.do?board_id=90,https://www.kiat.or.kr/,ko,None - scrape,Weekly,Announcements on industrial technology innovation funding and R&D support.,P1,page scrape,"로봇, R&D, 기술혁신, 지원사업","R&D funding, technology policy",Korean language only
South Korea,Korean Statistical Information Service (KOSIS),국가통계포털,Statistics,Official statistics press releases,https://kosis.kr/eng/bulletinBoard/pressReleasesList.do,https://kosis.kr/,en,None - scrape,Monthly,"Official statistics on manufacturing, employment, and industrial production relevant to robotics.",P2,page scrape,"manufacturing, industry, employment, production","official statistics, market size",English available
South Korea,Financial Supervisory Service (FSS) DART,금융감독원 전자공시시스템,Disclosure,Corporate filings,https://dart.fss.or.kr/,https://dart.fss.or.kr/,ko,API: OpenDART,Daily,"Official corporate filings, financial reports, and major business decisions of listed robotics companies.",P0,API,"로봇, 투자, 실적, 공시","financial filings, corporate actions","Korean language primary, OpenDART API available"
South Korea,Korea Exchange (KRX) KIND,한국거래소 KIND,Disclosure,Exchange disclosures,https://kind.krx.co.kr/,https://kind.krx.co.kr/,ko,None - scrape,Daily,"Real-time corporate disclosures, IPO information, and trading halts for listed robotics companies.",P0,page scrape,"로봇, 상장, 공시, IPO","IPO filings, exchange disclosures",Korean language only
South Korea,Korea Intellectual Property Rights Information Service (KIPRIS),특허정보검색서비스,Patent,Patent database,https://www.kipris.or.kr/,https://www.kipris.or.kr/,ko,API: KIPRISPlus,Daily,Official patent filings and intellectual property registrations for robotics technologies.,P1,API,"로봇, 제어, 구동기, 센서","patent filings, technology ownership","Korean language primary, KIPRISPlus API available"
South Korea,Korea Association of AI Robot Industry (KAR),한국AI로봇산업협회,Association,Association press releases,https://www.korearobot.or.kr/information/notice.htm,https://www.korearobot.or.kr/,ko,None - scrape,Weekly,"Industry association news, exhibition announcements (RobotWorld), and member company updates.",P1,page scrape,"로봇, 전시회, 회원사, 동향","industry trends, exhibition details",Korean language only
South Korea,Korea Advanced Institute of Science and Technology (KAIST),한국과학기술원,University,University news and research,https://news.kaist.ac.kr/news/html/news/?skey=category&sval=%EC%97%B0%EA%B5%AC,https://www.kaist.ac.kr/,ko,None - scrape,Weekly,"Cutting-edge robotics research, humanoid developments, and AI lab news.",P1,page scrape,"로봇, 인공지능, 연구, 휴머노이드","research breakthroughs, lab developments",Korean and English available
South Korea,Korea Institute of Science and Technology (KIST),한국과학기술연구원,Research,Research institute news,https://kist-air.wixsite.com/ari2021,https://www.kist.re.kr/,ko,None - scrape,Weekly,"Developments in AI, social robots, and assistive robotics from KIST AI and Robotics Institute.",P1,page scrape,"로봇, 인공지능, 연구, 헬스케어","research breakthroughs, technology transfer",Korean and English available
South Korea,Electronics and Telecommunications Research Institute (ETRI),한국전자통신연구원,Research,Research institute news,https://www.etri.re.kr/eng/bbs/list.etri?b_board_id=ENG02,https://www.etri.re.kr/,en,None - scrape,Weekly,"Developments in AI, robotics, telecommunications, and autonomous systems.",P1,page scrape,"로봇, 인공지능, 자율주행, 통신","research breakthroughs, technology transfer",Korean and English available
South Korea,Korea Institute of Machinery & Materials (KIMM),한국기계연구원,Research,Research institute news,https://www.kimm.re.kr/eng/sub011001,https://www.kimm.re.kr/,en,None - scrape,Weekly,"Developments in AI robotics, wearable robots, and advanced manufacturing technologies.",P1,page scrape,"로봇, 인공지능, 웨어러블, 제조","research breakthroughs, technology transfer",Korean and English available
South Korea,Korea Institute of Industrial Technology (KITECH),한국생산기술연구원,Research,Research institute news,https://www.kitech.re.kr/pages/61,https://www.kitech.re.kr/,ko,None - scrape,Weekly,"Developments in advanced manufacturing robots, wearable robots, and industrial automation.",P1,page scrape,"로봇, 제조, 웨어러블, 자동화","research breakthroughs, technology transfer",Korean language primary
South Korea,Daegu Gyeongbuk Institute of Science and Technology (DGIST),대구경북과학기술원,University,University news and research,https://www.dgist.ac.kr/prog/bbsArticle/BBSMSTR_000000000080/list.do,https://www.dgist.ac.kr/,ko,None - scrape,Weekly,"Robotics research, sustainable robotics, and physical AI developments.",P1,page scrape,"로봇, 인공지능, 연구, 지속가능","research breakthroughs, lab developments",Korean and English available
South Korea,Pohang University of Science and Technology (POSTECH),포항공과대학교,University,University news and research,https://www.postech.ac.kr/kor/newscenter/university-news.do,https://www.postech.ac.kr/,ko,None - scrape,Weekly,"Robotics research, bionics, and intelligent robot developments.",P1,page scrape,"로봇, 인공지능, 연구, 지능로봇","research breakthroughs, lab developments",Korean and English available
South Korea,Ulsan National Institute of Science and Technology (UNIST),울산과학기술원,University,University news and research,https://news.unist.ac.kr/,https://www.unist.ac.kr/,ko,None - scrape,Weekly,"Robotics research, artificial muscles, and social robot developments.",P1,page scrape,"로봇, 인공지능, 연구, 인공근육","research breakthroughs, lab developments",Korean and English available
South Korea,Korea Institute of Robotics and Technology Convergence (KIRO),한국로봇융합연구원,Research,Research institute news,https://www.kiro.re.kr/enjoy/news.asp,https://www.kiro.re.kr/,ko,None - scrape,Weekly,"Robotics R&D, technology convergence, and commercialization of robotics technologies.",P1,page scrape,"로봇, 융합, 연구, 상용화","research breakthroughs, technology transfer",Korean and English available
