region,source_name,source_name_local,type,subtype,url_news,url_home,language,rss_or_api,update_frequency,robotics_relevance,priority_tier,collection_route,watch_keywords,verification_role,ticker,origin,notes
China,NDRC,国家发展和改革委员会,Government,Ministry press releases,https://www.ndrc.gov.cn/xwdt/xwfb/,https://www.ndrc.gov.cn/,zh,None — scrape,Daily,Macroeconomic policies and major robotics project approvals,P0,page scrape,机器人;智能制造,official policy text,,Registry v1 (Jul 28),
China,Shanghai Gov,上海市人民政府,Government,Provincial policies,https://www.shanghai.gov.cn/nw12344/index.html,https://www.shanghai.gov.cn/,zh,None — scrape,Daily,Shanghai municipal robotics and AI policies,P0,page scrape,机器人;人工智能,official policy text,,Registry v1 (Jul 28),
China,Shenzhen Gov,深圳市人民政府,Government,Provincial policies,http://www.sz.gov.cn/cn/xxgk/zfxxgj/zcfg/,http://www.sz.gov.cn/,zh,None — scrape,Daily,Shenzhen municipal robotics and tech policies,P0,page scrape,机器人;智能制造,official policy text,,Registry v1 (Jul 28),
China,State Council,国务院,Government,State Council policies,http://www.gov.cn/zhengce/,http://www.gov.cn/,zh,None — scrape,Daily,Top-level national policies on AI and robotics,P0,page scrape,机器人;人工智能,official policy text,,Registry v1 (Jul 28),
China,CCGP,中国政府采购网,Procurement,Procurement portal,http://www.ccgp.gov.cn/cggg/dfgg/,http://www.ccgp.gov.cn/,zh,None — scrape,Daily,Government procurement bids and awards for robotics,P0,page scrape,机器人;采购,procurement records,,Registry v1 (Jul 28),
China,CAA,中国自动化学会,Association,Association news,http://www.caa.org.cn/index.php?me_id=2,http://www.caa.org.cn/,zh,None — scrape,Event-driven,Automation and robotics academic news,P1,page scrape,自动化;机器人,industry statistics,,Registry v1 (Jul 28),HTTP-only site; intermittent from overseas; use CN proxy or cached scrape.
China,CMRA,中国移动机器人产业联盟,Association,Association news,https://cnmra.com/,https://cnmra.com/,zh+en,None — scrape,Event-driven,Mobile robot industry news and reports,P1,page scrape,移动机器人;AGV,industry statistics,,Registry v1 (Jul 28),
China,CRIA,中国机器人产业联盟,Association,Association news,http://www.cria.org.cn/,http://www.cria.org.cn/,zh,None — scrape,Event-driven,Robotics industry statistics and alliance news,P1,page scrape,机器人;产业,industry statistics,,Registry v1 (Jul 28),
China,Astribot,星尘智能,Company,Company newsroom,https://www.astribot.com/news,https://www.astribot.com/,zh+en,None — scrape,Event-driven,AI robot assistant news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,"Baidu, Inc.",百度,Company,Listed company IR/newsroom,https://ir.baidu.com/news-releases,https://ir.baidu.com/,en,RSS: https://ir.baidu.com/rss/news-releases.xml,Monthly,"Baidu is a major player in AI and autonomous driving (Apollo), which are foundational to AI robotics.",P1,RSS,AI;Apollo;autonomous driving;robotics;agent,primary announcement,NASDAQ: BIDU,Site review v2 (Jul 30),
China,DJI,大疆,Company,Company newsroom,https://www.dji.com/newsroom,https://www.dji.com/,zh+en,None — scrape,Event-driven,Drones and robotics product launches,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Dataa Robotics,达闼机器人,Company,Company newsroom,https://www.dataarobotics.com/en/blog/index,https://www.dataarobotics.com/en,en/zh,None — scrape,Monthly,Dataa Robotics (CloudMinds) is a leading Chinese developer of cloud-based intelligent service robots and humanoid robots.,P1,page scrape,humanoid;cloud robotics;RobotGPT;HARIX;具身智能,primary announcement,,Site review v2 (Jul 30),
China,Deep Robotics,云深处科技,Company,Company newsroom,https://www.deeprobotics.cn/en,https://www.deeprobotics.cn/,zh+en,None — scrape,Event-driven,Quadruped robot news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Delta Intelligence,德塔智能,Company,Company newsroom,https://huggingface.co/datasets/Delta-Intelligence/OmniEgo,https://huggingface.co/datasets/Delta-Intelligence/OmniEgo,zh,None — scrape,Occasional,"Delta Intelligence is a humanoid robot foundation model company backed by major players like AgiBot and Leju, developing the Delta D1 head-mounted data device.",P1,WeChat,humanoid;foundation model;Delta D1;AgiBot;Leju,primary announcement,,Site review v2 (Jul 30),WeChat-only
China,Dexmal,原力灵机,Company,Company newsroom,https://dev.dexmal.com/community/blog,https://www.dexmal.com/,zh,None — scrape,Monthly,Dexmal (原力灵机) is a Chinese embodied AI startup developing vision-language-action models and frameworks for robotics.,P1,page scrape,具身智能;大模型;融资;机器人;Dexbotic,primary announcement,,Site review v2 (Jul 30),
China,Dreame Technology,追觅科技,Company,Company newsroom,https://www.dreametech.com/blogs/news,https://www.dreametech.com,en,None — scrape,Monthly,Dreame Technology produces smart home cleaning robots and is expanding into humanoid and consumer robotics.,P1,page scrape,robot vacuum;humanoid;AI;smart home,primary announcement,,Site review v2 (Jul 30),
China,Ecovacs Robotics,科沃斯机器人,Company,Listed company IR/newsroom,https://www.ecovacs.com/us/newsroom,https://www.ecovacsgroup.com/en,en/zh,None — scrape,Monthly,"Ecovacs Robotics is a leading Chinese service robotics company known for its robot vacuums and commercial robots, making it a key player in the consumer and commercial robotics market.",P1,page scrape,robot vacuum;commercial robot;lawn mower;service robot;earnings,primary announcement,SSE: 603486,Site review v2 (Jul 30),
China,EngineAI,逐际动力,Company,Company newsroom,https://en.engineai.com.cn/,https://en.engineai.com.cn/,zh+en,None — scrape,Event-driven,Humanoid and quadruped robot updates,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Estun,埃斯顿,Company,Company newsroom,https://en.estun.com/?list_52/,https://en.estun.com/,zh+en,None — scrape,Event-driven,Industrial robotics and automation news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Galaxea AI,星海图,Company,Company newsroom,https://galaxea-ai.com/news,https://galaxea-ai.com/,zh,None — scrape,Monthly,Chinese embodied AI robot startup developing foundation models and humanoid robots.,P1,page scrape + WeChat,humanoid;embodied AI;R1;funding,primary announcement,,Site review v2 (Jul 30),WeChat-only news links
China,Galbot,银河通用,Company,Company newsroom,https://galbot.com/about,https://galbot.com/,zh+en,None — scrape,Event-driven,Embodied AGI and dual-arm robot news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Gausium,高仙机器人,Company,Company newsroom,https://gausium.com/news/,https://gausium.com,en,RSS: https://gausium.com/feed/,Monthly,Gausium is a leading provider of AI-powered autonomous commercial cleaning robots.,P1,RSS,cleaning robot;autonomous;funding;Series D;Phantas,primary announcement,,Site review v2 (Jul 30),
China,Hikrobot,海康机器人,Company,Company newsroom,https://www.hikrobotics.com/en/news/,https://www.hikrobotics.com/,en/zh,None — scrape,Monthly,"Hikrobot is a major global supplier of mobile robots (AMRs) and machine vision products, having shipped over 200,000 mobile robots.",P1,page scrape,AMR;machine vision;mobile robot;IPO,primary announcement,,Site review v2 (Jul 30),
China,Inovance,汇川技术,Company,Company newsroom,https://www.inovance.com/news,https://www.inovance.com/,zh+en,None — scrape,Event-driven,Industrial automation and robotics components news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,JAKA Robotics,节卡机器人,Company,Company newsroom,https://www.jaka.com/en_eu/news,https://www.jaka.com/,en/zh,None — scrape,Monthly,"JAKA Robotics is a leading Chinese manufacturer of collaborative robots (cobots) and humanoid robots, backed by major investors like SoftBank.",P1,page scrape,cobot;humanoid;funding;IPO;协作机器人;人形机器人,primary announcement,,Site review v2 (Jul 30),IPO terminated in Dec 2025
China,Keenon,擎朗智能,Company,Company newsroom,https://www.keenon.com/news,https://www.keenon.com/,zh+en,None — scrape,Event-driven,Commercial service robot news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Leju,乐聚机器人,Company,Company newsroom,https://www.lejurobot.com/news,https://www.lejurobot.com/,zh+en,None — scrape,Event-driven,Humanoid robot and AI education news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,LimX,逐际动力,Company,Company newsroom,https://www.limx.com/news,https://www.limx.com/,zh+en,None — scrape,Event-driven,Legged robot and embodied AI news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Midea Group,美的集团,Company,Listed company IR/newsroom,https://www.midea.com/global/news,https://www.midea.com.cn/en,en/zh,None — scrape,Monthly,Midea Group is the parent company of KUKA and has a dedicated robotics division developing industrial and humanoid robots like MIRO U.,P1,page scrape,KUKA;humanoid;MIRO U;robotics;automation,primary announcement,SZSE: 000333,Site review v2 (Jul 30),
China,Morphi Robot,深圳墨奇智能技术有限公司,Company,Company newsroom,https://morphi.com/,https://morphi.com/,zh,None — scrape,Occasional,"Shenzhen embodied AI startup founded in 2025, raised over 1 billion RMB in angel-round financing from Alibaba and Tencent.",P1,WeChat,具身智能;人形机器人;天使轮;大模型,primary announcement,,Site review v2 (Jul 30),WeChat-only
China,NOETIX Robotics,松延动力,Company,Company newsroom,https://noetixrobotics.com/en/news/brand-news,https://noetixrobotics.com/,en/zh,None — scrape,Monthly,"Beijing-based humanoid robot maker (N2, Bumi, E1) that recently secured significant Series B funding and orders.",P1,page scrape,humanoid;Bumi;Series B;funding;N2,primary announcement,,Site review v2 (Jul 30),
China,Orbbec,奥比中光,Company,Company newsroom,https://www.orbbec.com/news/,https://www.orbbec.com/,zh+en,None — scrape,Event-driven,3D vision and robotics perception news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,OrionStar Robotics,猎户星空,Company,Company newsroom,https://en.orionstar.com/PressReleases.html,https://en.orionstar.com/,en/zh,None — scrape,Monthly,"OrionStar Robotics is a leading AI service robot company and Cheetah Mobile affiliate, providing autonomous cleaning, delivery, and hospitality robots.",P1,page scrape,service robot;delivery robot;Cheetah Mobile;AI;hospitality,primary announcement,,Site review v2 (Jul 30),
China,PsiBot,灵初智能,Company,Company newsroom,https://www.psibot.ai/category/news_zh/,https://www.psibot.ai/,zh/en,RSS: https://www.psibot.ai/feed/,Monthly,"PsiBot is a Chinese embodied AI startup developing VLA models and dexterous hands, backed by major investors and utilizing large-scale human manipulation data.",P1,RSS,具身智能;灵巧手;VLA;强化学习;融资,primary announcement,,Site review v2 (Jul 30),
China,Pudu,普渡科技,Company,Company newsroom,https://www.pudurobotics.com/news,https://www.pudurobotics.com/,zh+en,None — scrape,Event-driven,Commercial service robot news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Realman Robotics,睿尔曼智能,Company,Company newsroom,https://www.realman-robotics.cn/cn/main/about-us.html,https://www.realman-robotics.com,zh/en,None — scrape,Monthly,"Realman Robotics is a key Chinese manufacturer of ultra-lightweight robotic arms and humanoid components, providing hardware and data infrastructure for physical AI.",P1,WeChat,具身智能;机械臂;融资;新品发布;人形机器人,primary announcement,,Site review v2 (Jul 30),WeChat-only for news
China,RobotEra,星动纪元,Company,Company newsroom,https://www.robotera.com/news,https://www.robotera.com/,zh+en,None — scrape,Event-driven,Humanoid robot news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,SEER Robotics,仙工智能,Company,Company newsroom,https://seer-robotics.ai/medias,https://seer-robotics.ai/,en/zh,None — scrape,Monthly,"SEER Robotics provides AMR controllers, logistics robots, and software platforms for warehouse automation and embodied AI.",P1,page scrape,AMR;controller;logistics;embodied AI,primary announcement,,Site review v2 (Jul 30),
China,Segway Robotics,九号机器人,Company,Listed company IR/newsroom,https://robotics.segway.com/news/,https://robotics.segway.com/,en,RSS: https://robotics.segway.com/feed/,Monthly,"Segway Robotics focuses on autonomous mobile robots, delivery robots, and restaurant service robots, leveraging NVIDIA Isaac platforms.",P1,page scrape,delivery robot;AMR;NVIDIA Isaac;restaurant robot;Nova Carter,primary announcement,SSE: 689009,Site review v2 (Jul 30),
China,Siasun,新松机器人,Company,Company newsroom,https://www.siasun.com/news,https://www.siasun.com/,zh+en,None — scrape,Event-driven,Industrial and service robotics news,P1,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Standard Robots,斯坦德机器人,Company,Company newsroom,https://en.standard-robots.com/blog,https://en.standard-robots.com/,en/zh,None — scrape,Monthly,Standard Robots is a leading Chinese provider of industrial AMRs and embodied AI robotics solutions for smart manufacturing.,P1,page scrape,AMR;SLAM;embodied AI;funding;IPO,primary announcement,,Site review v2 (Jul 30),
China,Xiaomi Corporation,小米集团,Company,Listed company IR/newsroom,https://www.mi.com/global/discover/newsroom,https://www.mi.com/global/,en,None — scrape,Monthly,"Xiaomi is a major tech company developing the CyberOne humanoid and CyberDog, making its newsroom a key source for robotics announcements.",P1,page scrape,CyberOne;CyberDog;robotics;humanoid;AI,primary announcement,HKEX: 1810,Site review v2 (Jul 30),
China,Youibot Robotics,优艾智合,Company,Company newsroom,https://en.youibot.com/news.html,https://en.youibot.com,en/zh,None — scrape,Monthly,Youibot is a leading Chinese provider of industrial autonomous mobile robots (AMRs) and embodied AI solutions for semiconductor and manufacturing logistics.,P1,page scrape,AMR;semiconductor;embodied AI;logistics;funding,primary announcement,,Site review v2 (Jul 30),
China,BSE,北京证券交易所,Disclosure,Exchange disclosure portal,http://www.bse.cn/disclosure/announcement.html,http://www.bse.cn/,zh,None — scrape,Daily,Announcements from companies listed on Beijing Stock Exchange,P1,page scrape,机器人;公告,funding filings,,Registry v1 (Jul 28),
China,Beijing Stock Exchange (BSE),北京证券交易所,Exchange,Exchange newsroom / listings,https://www.bse.cn/disclosure/announcement.html,https://www.bse.cn,zh,None — scrape,Daily,"Beijing Stock Exchange focuses on innovative SMEs, making it a key source for tracking new listings of robotics and AI suppliers in China.",P1,page scrape + IPO calendar,robotics IPO;listing;prospectus;机器人;人工智能,primary disclosure/announcement,,Exchange/SEA batch v3 (Jul 30),"No English version found, using Chinese site"
China,Shenzhen Stock Exchange (SZSE),深圳证券交易所,Exchange,Exchange newsroom / listings,https://www.szse.cn/English/about/news/listings/,https://www.szse.cn/English/index.html,en,None — scrape,Weekly,"The Shenzhen Stock Exchange (SZSE) ChiNext market is a key venue for robotics and tech IPOs in China, making its listings pipeline essential for tracking new robotics companies.",P1,page scrape + IPO calendar,robotics IPO;listing;prospectus;ChiNext,primary disclosure/announcement,,Exchange/SEA batch v3 (Jul 30),
China,CIIF,中国国际工业博览会,Exhibition,Exhibition news,https://www.ciif-expo.com/news,https://www.ciif-expo.com/,zh+en,None — scrape,Event-driven,Industrial robotics exhibition announcements,P1,page scrape,工业机器人;展览,product announcements,,Registry v1 (Jul 28),
China,WAIC,世界人工智能大会,Exhibition,Exhibition news,https://www.worldaic.com.cn/,https://www.worldaic.com.cn/,zh+en,None — scrape,Event-driven,AI and robotics exhibition announcements,P1,page scrape,人工智能;机器人,product announcements,,Registry v1 (Jul 28),
China,WRC,世界机器人大会,Exhibition,Exhibition news,https://www.worldrobotconference.com/en/,https://www.worldrobotconference.com/en/,zh+en,None — scrape,Event-driven,Major robotics exhibition announcements and product debuts,P1,page scrape,机器人;展览,product announcements,,Registry v1 (Jul 28),
China,CNIPA,国家知识产权局,Patent,Patent announcements,https://www.cnipa.gov.cn/col/col53/index.html,https://www.cnipa.gov.cn/,zh,None — scrape,Daily,Robotics patent grants and IP policies,P1,page scrape,机器人;专利,patent filings,,Registry v1 (Jul 28),
China,BAAI,北京智源人工智能研究院,Research,Lab news,https://www.baai.ac.cn/news,https://www.baai.ac.cn/,zh+en,None — scrape,Event-driven,AI and embodied AI research updates,P1,page scrape,具身智能;人工智能,research papers,,Registry v1 (Jul 28),
China,Beijing Humanoid Robot Innovation Center,北京人形机器人创新中心,Research,Lab news,https://www.x-humanoid.com/news.html,https://www.x-humanoid.com/,zh,None — scrape,Event-driven,Humanoid robot innovation and development,P1,page scrape,人形机器人;创新,product announcements,,Registry v1 (Jul 28),
China,CAS Institute of Automation,中科院自动化所,Research,Lab news,http://english.ia.cas.cn/,http://english.ia.cas.cn/,zh+en,None — scrape,Event-driven,Fundamental AI and robotics research breakthroughs,P1,page scrape,机器人;人工智能,research papers,,Registry v1 (Jul 28),
China,National Local Joint Humanoid Robot Innovation Center,国家地方共建人形机器人创新中心,Research,Lab news,https://mp.weixin.qq.com/,https://www.nlhc.com.cn/,zh,None — scrape,Event-driven,National humanoid robot innovation projects,P1,page scrape,人形机器人;创新,product announcements,,Registry v1 (Jul 28),Primary channel is official WeChat account 国地共建人形机器人创新中心 (OpenLoong); website unstable overseas. Also openloong.org.cn for open-source releases.; WeChat search: 国地共建人形机器人创新中心
China,Shanghai Innovation Institute,上海创智学院,Research,Research institute,https://www.sii.edu.cn/czxw/list.htm,https://www.sii.edu.cn/,zh,None — scrape,Monthly,"Shanghai Innovation Institute released the tau0-VLA embodied AI model with AgiBot, contributing to advanced robotics research.",P1,page scrape,具身智能;tau0-VLA;机器人;大模型;智元机器人,primary announcement,,Site review v2 (Jul 30),
China,Zhejiang Humanoid Robot Innovation Center,浙江人形机器人创新中心,Research,Research institute,https://www.zj-humanoid.com/,https://www.zj-humanoid.com/,zh,None — scrape,Monthly,Provincial humanoid innovation center developing the NAVIAI series of humanoid robots.,P1,WeChat,人形机器人;NAVIAI;熊蓉,primary announcement,,Site review v2 (Jul 30),WeChat-only
China,SAMR,国家市场监督管理总局,Standards,Standards announcements,https://www.samr.gov.cn/xw/zj/,https://www.samr.gov.cn/,zh,None — scrape,Daily,National robotics standards and market regulations,P1,page scrape,机器人;标准,official policy text,,Registry v1 (Jul 28),
China,Tsinghua University,清华大学自动化系,University,Lab news,https://www.au.tsinghua.edu.cn/en/News.htm,https://www.au.tsinghua.edu.cn/en/,zh+en,None — scrape,Event-driven,Robotics research and academic achievements,P1,page scrape,机器人;人工智能,research papers,,Registry v1 (Jul 28),
China,AgileX Robotics,松灵机器人,Company,Company newsroom,https://global.agilex.ai/blogs/news,https://www.agilex.ai/,en/zh,None — scrape,Occasional,"AgileX Robotics is a leading provider of mobile robot chassis and research platforms, advancing embodied AI and autonomous systems.",P2,page scrape,mobile robot;chassis;embodied AI;ROS2;funding,primary announcement,,Site review v2 (Jul 30),
China,Booster Robotics,加速进化,Company,Company newsroom,https://www.booster.tech/news/,https://www.booster.tech/,en/zh,None — scrape,Occasional,"Beijing-based startup developing developer-friendly humanoid robots for education, research, and sports, notably winning RoboCup championships.",P2,page scrape,humanoid;RoboCup;funding;Booster T1;Booster K1,primary announcement,,Site review v2 (Jul 30),
China,Kepler Robotics,开普勒机器人,Company,Company newsroom,https://www.gotokepler.com/news,https://www.gotokepler.com/,en/zh,None — scrape,Occasional,Shanghai-based humanoid robot maker developing the Forerunner series for commercial and industrial use.,P2,page scrape,humanoid;Forerunner;K2;mass production,primary announcement,,Site review v2 (Jul 30),
China,Kinetix AI,深圳超维动力智能科技有限公司,Company,Company newsroom,https://www.kinetixai.tech/,https://www.kinetixai.tech/,zh/en,None — scrape,Occasional,Shenzhen-based embodied AI startup developing highly human-like humanoid robots (KAI) with 115 degrees of freedom and tactile sensing for real-world tasks including healthcare.,P2,WeChat,具身智能;人形机器人;KAI;北大医疗;融资,primary announcement,,Site review v2 (Jul 30),WeChat-only for news
China,Lumos Robotics,鹿明机器人,Company,Company newsroom,https://www.lumosbot.tech/news.html,https://www.lumosbot.tech/,en/zh,None — scrape,Occasional,"Lumos Robotics is a Chinese startup developing industrial-grade embodied AI and humanoid robots like LUS2, backed by significant funding.",P2,page scrape,humanoid;embodied AI;LUS2;funding;industrial,primary announcement,,Site review v2 (Jul 30),
China,MagicLab Robotics,魔法原子,Company,Company newsroom,https://www.magiclab.top/en/news,https://www.magiclab.top/en,en/zh,None — scrape,Occasional,"Developer of humanoid and quadruped robots like MagicBot Z1 and MagicDog, focusing on industrial and commercial applications.",P2,page scrape,humanoid;quadruped;MagicBot;MagicDog;financing,primary announcement,,Site review v2 (Jul 30),
China,Quicktron Robotics,快仓智能,Company,Company newsroom,https://www.quicktron.com/en_US/news,https://www.quicktron.com,en/zh,None — scrape,Occasional,Leading Chinese provider of autonomous mobile robots (AMRs) and smart intralogistics solutions for warehouses and factories.,P2,page scrape,AMR;warehouse automation;logistics;funding;IPO,primary announcement,,Site review v2 (Jul 30),
China,Roborock,石头科技,Company,Listed company IR/newsroom,https://newsroom.roborock.com/,https://global.roborock.com/,en,RSS: https://global.roborock.com/blogs/news.atom,Occasional,Roborock is a leading manufacturer of intelligent robotic vacuum cleaners and smart home cleaning devices.,P2,RSS,robot vacuum;cleaning robot;smart home;AI navigation;embodied intelligence,primary announcement,SSE: 688169,Site review v2 (Jul 30),
China,XbotPark,松山湖机器人产业基地,Ecosystem,Incubator/cluster,https://www.xbotpark.com/news/,https://www.xbotpark.com,zh,None — scrape,Occasional,"XbotPark is a premier robotics incubator in China founded by Li Zexiang, having incubated over 60 hardware startups including DJI and Narwal.",P2,page scrape + WeChat,孵化;机器人;李泽湘;智能硬件,primary announcement,,Site review v2 (Jul 30),WeChat-only for some updates
China,Shanghai Stock Exchange (SSE) STAR Market,上海证券交易所科创板,Exchange,Exchange newsroom / listings,https://english.sse.com.cn/markets/equities/announcements/,https://star.sse.com.cn/en/,en,None — scrape,Occasional,"The STAR Market is a key venue for Chinese robotics and AI companies to list, making its IPO pipeline and announcements critical for tracking new public robotics entities.",P2,page scrape + IPO calendar,robotics IPO;listing;prospectus;STAR Market,primary disclosure/announcement,,Exchange/SEA batch v3 (Jul 30),
China,HIT,哈尔滨工业大学机器人技术与系统国家重点实验室,University,Lab news,http://robot.hit.edu.cn/news,http://robot.hit.edu.cn/,zh,None — scrape,Event-driven,Robotics technology and systems research,P2,page scrape,机器人;系统,research papers,,Registry v1 (Jul 28),
China,Peking University,北京大学智能学院,University,Lab news,https://www.ai.pku.edu.cn/,https://www.ai.pku.edu.cn/,zh+en,None — scrape,Event-driven,AI and robotics research,P2,page scrape,人工智能;机器人,research papers,,Registry v1 (Jul 28),PKU Institute for AI news list (Chinese). PKU Institute for AI homepage lists dated news items (Chinese); no stable subpage.
China,SJTU,上海交通大学机械与动力工程学院,University,Lab news,https://me.sjtu.edu.cn/news.html,https://me.sjtu.edu.cn/,zh+en,None — scrape,Event-driven,Mechanical engineering and robotics research,P2,page scrape,机器人;机械,research papers,,Registry v1 (Jul 28),
China,Zhejiang University,浙江大学控制科学与工程学院,University,Lab news,http://www.cse.zju.edu.cn/english/news/list.htm,http://www.cse.zju.edu.cn/english/,zh+en,None — scrape,Event-driven,Robotics and control science research,P2,page scrape,机器人;控制,research papers,,Registry v1 (Jul 28),
China,36Kr,36氪,Wire(verification-only),Tech news aggregator,https://36kr.com/,https://36kr.com/,zh,None — scrape,Daily,General tech and robotics news aggregation,P2,page scrape,机器人;融资,media reports,,Registry v1 (Jul 28),
China,Jiqizhixin,机器之心,Wire(verification-only),AI news aggregator,https://www.jiqizhixin.com/,https://www.jiqizhixin.com/,zh,None — scrape,Daily,AI and robotics news aggregation,P2,page scrape,机器人;人工智能,media reports,,Registry v1 (Jul 28),
China,QbitAI,量子位,Wire(verification-only),AI news aggregator,https://www.qbitai.com/,https://www.qbitai.com/,zh,None — scrape,Daily,AI and tech news aggregation,P2,page scrape,机器人;人工智能,media reports,,Registry v1 (Jul 28),
Japan,"Hitachi, Ltd.",株式会社日立製作所,Company,Listed company IR/newsroom,https://www.hitachi.com/en/press/,https://www.hitachi.com/en/,en/ja,None — scrape,Daily,Hitachi group robotics R&D and automation (incl. Hitachi Astemo),P0,page scrape,robotics;automation;AI;Astemo;R&D,primary announcement,TYO: 6501,Site review v2 (Jul 30),
Japan,EDINET,金融商品取引法に基づく有価証券報告書等の開示書類に関する電子開示システム,Disclosure,Financial regulator disclosure,https://disclosure2.edinet-fsa.go.jp/week0020.aspx,https://disclosure2.edinet-fsa.go.jp/,en,API: EDINET API,Daily,Statutory financial filings (securities reports) of listed robotics companies.,P0,API,robotics; automation; financial results,financial filings,,Registry v1 (Jul 28),API available for programmatic access.
Japan,TDnet,適時開示情報伝達システム,Disclosure,Stock exchange disclosure,https://www.jpx.co.jp/english/equities/listing/disclosure/index.html,https://www.jpx.co.jp/english/,en,API: TDnet API,Daily,Timely disclosure of financial results and corporate actions by listed robotics companies.,P0,API,robotics; automation; financial results,financial filings,,Registry v1 (Jul 28),API available for programmatic access.
Japan,NEDO,新エネルギー・産業技術総合開発機構,Government,Agency press releases,https://www.nedo.go.jp/english/news/activities_index.html,https://www.nedo.go.jp/english/,en,None — scrape,Weekly,Major robotics R&D project funding and results announcements.,P0,page scrape,robotics; AI; automation; Moonshot,funding filings,,Registry v1 (Jul 28),English translations available.
Japan,JARA,日本ロボット工業会,Association,Industry association news,https://www.jara.jp/e/,https://www.jara.jp/e/,en,None — scrape,Monthly,Industry statistics and association news for the Japanese robotics sector.,P1,page scrape,robotics; statistics; industry,industry statistics,,Registry v1 (Jul 28),English interface available.
Japan,RRI,ロボット革命・産業IoTイニシアティブ協議会,Association,Initiative news,https://www.jmfrri.gr.jp/news/english/,https://www.jmfrri.gr.jp/english/outline/overview,en,None — scrape,Monthly,Updates on the Robot Revolution and Industrial IoT Initiative.,P1,page scrape,robotics; IoT; automation,industry initiatives,,Registry v1 (Jul 28),English interface available.
